English,Russian,volatile,изменчивый
English,Russian,semiconductor,полупроводник
English,Russian,regarding,относительно
English,Russian,assume,предполагать
English,Russian,sequential,последовательный
English,Russian,coefficient,коэффициент
English,Russian,Tribute,дань
English,Russian,In a sense,В некотором смысле
English,Russian,neat,аккуратный
English,Russian,mutually,взаимно
English,Russian,drastically,кардинально
English,Russian,tremendously,чрезвычайно
English,Russian,thorough,тщательный
English,Russian,decent,приличная
English,Russian,disjoint,непересекающиеся
English,Russian,vast,огромный
English,Russian,foremost,в первую очередь
English,Russian,disrupt,срывать
English,Russian,purporting,подразумевая
English,Russian,sufficient,достаточно
English,Russian,extant,сохранившийся
English,Russian,precedence,старшинство
English,Russian,quirk,причуда
English,Russian,implies,подразумевает
Russian,English,Походка,Gait
English,Russian,elicit,вызывать
English,Russian,impersonal,безличный
English,Russian,merely,просто
English,Russian,prosperity,процветание
English,Russian,bestow,даровать
English,Russian,abundance,изобилие
English,Russian,drought,засуха
English,Russian,aging,старение
English,Russian,infants,дети
English,Russian,rely,полагаться
English,Russian,rehearsal,репетиция
English,Russian,decayed,гнилой
English,Russian,shiver,дрожать
English,Russian,coating,покрытие
English,Russian,flux,поток
English,Russian,rumors,слухи
English,Russian,bulky,объемистый
English,Russian,bully,задира
English,Russian,patch,пластырь
English,Russian,rid,избавиться
English,Russian,dull,скучный
English,Russian,cabbie,извозчик
English,Russian,chuckle,посмеиваться
English,Russian,whimper,хныканье
English,Russian,rumbling,урчание
English,Russian,venom,яд
English,Russian,groan,стон
English,Russian,massacre,бойня
English,Russian,flapping,хлопающий
English,Russian,gasping,затрудненное дыхание
English,Russian,magpie,болтун
English,Russian,reverend,почтенный
English,Russian,grunting,хрюканье
English,Russian,scholarly,ученый
English,Russian,furnished,меблированный
English,Russian,seldom,редко
English,Russian,inhabitants,жителей
English,Russian,despite,несмотря
English,Russian,submissive,покорный
English,Russian,muzzle,морда
English,Russian,merits,заслуги
English,Russian,devotions,религиозные обряды
English,Russian,diverted,переадресованы
English,Russian,fracturing,трещиноватость
